date,PX_LAST,PX_MID,PX_BID,PX_ASK,PX_DIRTY_MID,INT_ACC,YLD_YTM_MID,YLD_YTM_BID,YLD_YTM_ASK,DUR_ADJ_MID,DUR_ADJ_OAS_MID,CONVEXITY,OAS_SPREAD_MID,Z_SPRD_MID,country,isin,security_des,MOD_DUR_CALC,CONVEXITY_CALC,MAC_DUR_CALC,PV_DIRTY_CALC
2019-11-01,39.359,39.359,39.026,39.691,41.549,,23.099,23.277,22.925,,,,,2151.771,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.557801771294041,31.57497179651066,5.084205086869646,41.45698947081772
2019-11-04,39.317,39.317,38.967,39.667,41.525,,23.125,23.312,22.941,,,,,2148.052,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.54763146032763,31.47641416209097,5.073451347928013,41.48239814819469
2019-11-05,38.94,38.94,38.505,39.374,41.167,,23.33,23.566,23.099,,,,,2161.47,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.523070545277406,31.23135468351689,5.050686724384015,41.1232383741103
2019-11-06,38.555,38.555,38.333,38.776,40.8,,23.542,23.664,23.422,,,,,2185.106,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.497805516317458,30.979954731470727,5.027242203643185,40.75660866219492
2019-11-07,38.119,38.119,37.792,38.446,40.438,,23.797,23.98,23.617,,,,,2202.326,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.467982078986879,30.68388037856213,4.999604926655133,40.31804388958423
2019-11-08,37.192,37.192,36.968,37.416,39.529,,24.325,24.454,24.197,,,,,2253.625,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.409089590203874,30.10061270378621,4.94534511161242,39.40866931631992
2019-11-11,37.192,37.192,36.968,37.416,39.529,,24.325,24.454,24.197,,,,,2252.002,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.401766686059087,30.032827230525356,4.937131559251024,39.48304362344464
2019-11-12,36.276,36.276,35.828,36.724,38.632,,24.866,25.135,24.601,,,,,2308.891,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.34184727379544,29.443892046873614,4.881669145346427,38.58467127391911
2019-11-13,36.746,36.746,36.479,37.012,39.12,,24.592,24.749,24.437,,,,,2286.286,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.368477061421657,29.70753106429972,4.905625000894063,39.07279914271706
2019-11-14,37.326,37.326,36.971,37.682,39.755,,24.268,24.472,24.065,,,,,2260.271,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.400518438459921,30.02512820622386,4.934477345782647,39.65683621903788
2019-11-15,37.361,37.361,36.975,37.746,39.809,,24.251,24.474,24.033,,,,,2257.354,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.39988912667582,30.020448715584315,4.933397682730897,39.71139903610453
2019-11-18,37.208,37.208,36.819,37.597,39.674,,24.343,24.569,24.121,,,,,2268.84,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.38276315764498,29.8561973084361,4.916211175377738,39.62585008548172
2019-11-19,38.491,38.491,38.192,38.789,40.975,,23.626,23.791,23.464,,,,,2200.198,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.456947773634439,30.59084003439797,4.983447014133875,40.92707762023605
2019-11-20,40.388,40.388,40.035,40.74,42.891,,22.626,22.807,22.447,,,,,2103.353,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.5622721137883175,31.641679141211245,5.07840195802119,42.84060204966886
2019-11-21,40.562,40.562,40.354,40.77,43.12,,22.548,22.654,22.442,,,,,2093.068,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.568259911548929,31.70272513762756,5.083285533976956,43.01862278059879
2019-11-22,40.305,40.305,40.032,40.579,42.881,,22.683,22.824,22.543,,,,,2106.007,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.5511841574673495,31.532911111142504,5.067356708686509,42.77971716018505
2019-11-25,39.703,39.703,39.332,40.073,42.298,,22.999,23.195,22.806,,,,,2138.202,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.509676680141747,31.122304343677857,5.028266949974647,42.246622426557614
2019-11-26,40.22,40.22,39.891,40.549,42.852,,22.738,22.908,22.569,,,,,2113.169,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.535401389254163,31.379734225337884,5.05103117319847,42.77359810426508
2019-11-27,40.282,40.282,39.865,40.699,42.969,,22.717,22.933,22.504,,,,,2107.667,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.535213084915533,31.37896847380062,5.050345263165664,42.83959616841679
2019-11-28,40.282,40.282,39.865,40.699,42.969,,22.717,22.933,22.504,,,,,2107.424,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.532754493261432,31.355570136000942,5.047607412378532,42.864840445434325
2019-11-29,40.307,40.307,39.911,40.702,43.012,,22.708,22.913,22.506,,,,,2105.177,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.531268715259169,31.341874236643356,5.045748965189695,42.90759247793152
2019-12-02,38.366,38.366,38.023,38.709,41.09,,23.746,23.937,23.558,,,,,2206.37,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.412269103308212,30.167365669130085,4.936137813943996,41.03550675704117
2019-12-03,38.679,38.679,38.317,39.04,41.421,,23.578,23.777,23.382,,,,,2199.823,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.4278099797288615,30.3217735116256,4.949804498239097,41.36667720609903
2019-12-04,38.888,38.888,38.613,39.163,41.648,,23.468,23.618,23.32,,,,,2182.619,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.437153994325017,30.415205772303157,4.957809644019115,41.59418063135031
2019-12-05,38.547,38.547,38.186,38.908,41.363,,23.666,23.866,23.469,,,,,2198.928,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.413487492706675,30.18350296773001,4.935735467718656,41.2564762424736
2019-12-06,38.96,38.96,38.549,39.37,41.794,,23.445,23.669,23.225,,,,,2174.021,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.434720291033357,30.39384878780884,4.954580377149742,41.68723798222248
2019-12-09,41.133,41.133,40.752,41.514,43.985,,22.319,22.511,22.129,,,,,2062.531,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.54876006523949,31.526558091510296,5.05637894471989,43.92793167664461
2019-12-10,40.913,40.913,40.556,41.27,43.784,,22.433,22.614,22.254,,,,,2071.682,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.533952094561976,31.380320044084364,5.0425028312485205,43.72648316574259
2019-12-11,41.818,41.818,41.481,42.155,44.707,,21.987,22.153,21.823,,,,,2031.754,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.579850388237574,31.838264728566102,5.083336240668471,44.64999864454569
2019-12-12,42.421,42.421,42.107,42.736,45.365,,21.706,21.858,21.556,,,,,1992.092,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.607940894231682,32.1197265071325,5.108040719482646,45.255796689090914
2019-12-13,42.314,42.314,41.969,42.658,45.277,,21.761,21.928,21.597,,,,,2006.347,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.59948536603406,32.036039746277986,5.099932371285396,45.16685812399706
2019-12-16,42.11,42.11,41.706,42.514,45.091,,21.864,22.061,21.669,,,,,2010.575,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.580878625747704,31.85295332958575,5.081660277114443,45.03032524421113
2019-12-17,44.3,44.3,43.968,44.631,47.3,,20.843,20.993,20.694,,,,,1907.233,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.689800824328222,32.94462721543346,5.178548417235587,47.23890181125172
2019-12-18,45.382,45.382,44.977,45.786,48.4,,20.366,20.544,20.191,,,,,1856.665,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.739632865878432,33.44793617953201,5.222269680610832,48.33924691822872
2019-12-19,44.834,44.834,44.351,45.317,47.907,,20.617,20.834,20.404,,,,,1881.463,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.709603722696605,33.14521968941359,5.195093222450785,47.79490884499237
2019-12-20,44.994,44.994,44.563,45.425,48.086,,20.55,20.742,20.361,,,,,1873.838,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.71446904807315,33.19477986715845,5.1988807427626655,47.971763744569415
2019-12-23,46.359,46.359,45.826,46.891,49.487,,19.965,20.193,19.741,,,,,1814.174,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.771285862723939,33.770261865456234,5.247579473970356,49.39964324933814
2019-12-24,46.177,46.177,45.977,46.376,49.324,,20.046,20.132,19.961,,,,,1824.85,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.7598854359094505,33.65519045364532,5.236968753150655,49.23501736975165
2019-12-25,46.177,46.177,45.977,46.376,49.324,,20.046,20.132,19.961,,,,,1823.874,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.757397000957547,33.630376445040675,5.234230902363522,49.26077573787959
2019-12-26,48.45,48.45,47.95,48.949,51.652,,19.117,19.319,18.919,,,,,1732.397,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.857332532328468,34.64589490352809,5.3216206624310844,51.53698132240381
2019-12-27,47.785,47.785,47.462,48.108,50.987,,19.386,19.518,19.255,,,,,,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.825126244879683,34.31783591665851,5.29282573179587,50.89577760900709
2019-12-30,47.508,47.508,47.181,47.835,50.747,,19.505,19.64,19.372,,,,,1772.521,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.804513828459077,34.10898533590147,5.27307403957955,50.68218891010812
2019-12-31,47.534,47.534,47.156,47.912,50.791,,19.498,19.654,19.344,,,,,1768.123,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.802790989592872,34.091710375003565,5.2710150831682805,50.72507019665096
2020-01-01,47.534,47.534,47.156,47.912,50.791,,19.498,19.654,19.344,,,,,1767.673,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.800296341999607,34.0666175322384,5.268277232381148,50.75091517920991
2020-01-02,46.585,46.585,46.167,47.004,46.585,,19.903,20.081,19.727,,,,,1812.331,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.753209727951433,33.590761448598,5.22622539402852,49.80414771392162
2020-01-03,44.58,44.58,44.053,45.107,44.598,,20.779,21.018,20.544,,,,,1908.919,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.654647669444644,32.60183589585672,5.138242289061595,47.81897950330421
2020-01-06,45.329,45.329,45.102,45.556,45.366,,20.449,20.549,20.35,,,,,1876.609,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.025580436345365,35.29372215692726,5.539420908059496,45.32727987513646
2020-01-07,45.649,45.649,45.249,46.049,45.704,,20.312,20.487,20.139,,,,,1861.76,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.036850439156583,35.41236626356911,5.548392969757326,45.66504715626973
2020-01-08,45.657,45.657,45.276,46.038,45.731,,20.311,20.478,20.146,,,,,1856.582,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.034465422674752,35.3872636940819,5.545740558674487,45.69154030520009
2020-01-09,46.25,46.25,45.897,46.602,46.379,,20.064,20.215,19.914,,,,,1833.332,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.056793247295285,35.62248384963869,5.564090745863948,46.288910654685175
2020-01-10,47.221,47.221,46.913,47.528,47.368,,19.657,19.786,19.53,,,,,1795.637,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.095244305201328,36.02865014571599,5.596030391738041,47.279661518689366
2020-01-13,47.204,47.204,46.926,47.483,47.37,,19.667,19.783,19.552,,,,,1794.58,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.086759426486974,35.93845493366977,5.586965914690572,47.328446786609206
2020-01-14,46.853,46.853,46.51,47.196,47.037,,19.816,19.961,19.673,,,,,1811.27,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.069278489742789,35.75375193240277,5.571542602506505,46.99591731288133
2020-01-15,47.812,47.812,47.536,48.088,48.014,,19.422,19.535,19.31,,,,,1773.777,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.106435287058021,36.14621224562655,5.602321217784226,47.97208453341016
2020-01-16,47.968,47.968,47.614,48.321,48.244,,19.369,19.513,19.226,,,,,1766.515,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.109277078329452,36.17608007611516,5.604085016980268,48.126514244677765
2020-01-17,47.406,47.406,46.998,47.814,47.7,,19.602,19.771,19.434,,,,,1788.946,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.083327565040787,35.90157803742603,5.581544499690435,47.58263799719648
2020-01-20,47.406,47.406,46.998,47.814,47.7,,19.602,19.771,19.434,,,,,1788.65,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.075847166536771,35.82217701843859,5.57333094732904,47.65577752712481
2020-01-21,46.133,46.133,45.899,46.367,46.446,,20.141,20.241,20.041,,,,,1847.831,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,5.019206690503197,35.226824408255915,5.524665900270322,46.40078843132368
2020-01-22,45.283,45.283,44.972,45.593,45.614,,20.513,20.651,20.377,,,,,1885.101,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.979426917294221,34.810903738437204,5.490141839066503,45.56997411219284
2020-01-23,44.926,44.926,44.632,45.22,45.312,,20.68,20.811,20.549,,,,,1904.593,Argentina,US040114HF05,ARGENT 6 5/8 07/06/28,4.960225261302077,34.61085126723774,5.473112553320712,45.21758891869978
